account_number,meter_id,meter_type,site_name,supplier_name,billing_period_start,billing_period_end,prev_reading_kwh,curr_reading_kwh,consumption_kwh,rate_per_kwh,subtotal_usd,taxes_usd,total_cost_usd,tariff_code,state,estimation
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-01-15,2024-02-13,10000,14520,4520,8.5,38420.00,3842.00,42262.00,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-01-15,2024-02-13,8500,12891,4391,8.5,37323.50,3732.35,41055.85,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-02-14,2024-03-15,14520,18730,4210,8.5,35785.00,3578.50,39363.50,MERC-COM-HT,Maharashtra,Yes
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-02-14,2024-03-15,12891,17102,4211,8.5,35793.50,3579.35,39372.85,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-03-16,2024-04-14,18730,21940,3210,8.5,27285.00,2728.50,30013.50,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-03-16,2024-04-14,17102,20293,3191,8.5,27123.50,2712.35,29835.85,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-04-15,2024-05-16,21940,24920,2980,8.5,25330.00,2533.00,27863.00,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-04-15,2024-05-16,20293,23187,2894,8.5,24599.00,2459.90,27058.90,MERC-COM-HT,Maharashtra,Yes
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-05-17,2024-06-15,24920,28540,3620,8.5,30770.00,3077.00,33847.00,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-05-17,2024-06-15,23187,26901,3714,8.5,31569.00,3156.90,34725.90,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-06-16,2024-07-17,28540,33180,4640,8.5,39440.00,3944.00,43384.00,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-06-16,2024-07-17,26901,31623,4722,8.5,40137.00,4013.70,44150.70,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-07-18,2024-08-16,33180,38290,5110,8.5,43435.00,4343.50,47778.50,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-07-18,2024-08-16,31623,36834,5211,8.5,44293.50,4429.35,48722.85,MERC-COM-HT,Maharashtra,Yes
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-08-17,2024-09-15,38290,43401,5111,8.5,43443.50,4344.35,47787.85,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-08-17,2024-09-15,36834,41992,5158,8.5,43843.00,4384.30,48227.30,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-09-16,2024-10-15,43401,47821,4420,8.5,37570.00,3757.00,41327.00,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-09-16,2024-10-15,41992,46301,4309,8.5,36626.50,3662.65,40289.15,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-10-16,2024-11-14,47821,51634,3813,8.5,32410.50,3241.05,35651.55,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-10-16,2024-11-14,46301,50187,3886,8.5,33031.00,3303.10,36334.10,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-11-15,2024-12-16,51634,56284,4650,8.5,39525.00,3952.50,43477.50,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-11-15,2024-12-16,50187,54923,4736,8.5,40256.00,4025.60,44281.60,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-001,Smart,Mumbai HQ - Floor 1,Tata Power,2024-12-17,2025-01-15,56284,61414,5130,8.5,43605.00,4360.50,47965.50,MERC-COM-HT,Maharashtra,No
ACC-987001,MTR-002,Smart,Mumbai HQ - Floor 2,Tata Power,2024-12-17,2025-01-15,54923,60089,5166,8.5,43911.00,4391.10,48302.10,MERC-COM-HT,Maharashtra,No
