index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
0,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,1,5953
18,AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,1,5949
175,Indigo,6.00E-282,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,2,11678
500,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,4,12150
1000,Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,7,9373
1500,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,10,6480
2000,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,12,11100
2500,Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,14,14670
3000,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,17,4328
3500,Air_India,AI-491,Delhi,Morning,one,Afternoon,Mumbai,Economy,3.92,19,5126
4000,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,21,10087
4500,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,24,3100
5000,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,26,4968
5500,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,28,6316
6000,AirAsia,I5-788,Delhi,Night,one,Afternoon,Mumbai,Economy,14.25,31,2409
6500,SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,33,3977
7000,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.42,35,7005
7500,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,38,2621
8000,Air_India,AI-537,Delhi,Evening,one,Evening,Mumbai,Economy,24.83,40,3855
8500,Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,42,6296
9000,Indigo,6E-5042,Delhi,Morning,one,Evening,Mumbai,Economy,7.83,45,2410
9500,Vistara,UK-871,Delhi,Night,one,Morning,Mumbai,Economy,13.42,47,5227
9982,SpiceJet,SG-191,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.5,1,7425
9998,AirAsia,I5-548,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.58,1,7423
10000,GO_FIRST,G8-392,Delhi,Afternoon,one,Night,Bangalore,Economy,7.17,1,7424
10054,Vistara,UK-747,Delhi,Early_Morning,two_or_more,Morning,Bangalore,Economy,26.33,1,17302
10500,Indigo,6E-2471,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.83,4,10523
11000,Indigo,6E-2005,Delhi,Morning,one,Evening,Bangalore,Economy,8.83,7,9998
11500,Vistara,UK-859,Delhi,Morning,one,Evening,Bangalore,Economy,9.08,10,9945
